time,value
2025-02-01 17:05:47.223183+00:00,2241
2025-02-01 17:05:52.398075+00:00,2240
2025-02-01 17:05:57.237561+00:00,2242
2025-02-01 17:06:02.245366+00:00,2242
2025-02-01 17:06:07.234580+00:00,2241
2025-02-01 17:06:12.412812+00:00,2244
2025-02-01 17:06:17.426958+00:00,2242
2025-02-01 17:06:22.418092+00:00,2229
2025-02-01 17:06:27.248961+00:00,2206
2025-02-01 17:06:32.219732+00:00,2203
2025-02-01 17:06:37.227865+00:00,2199
2025-02-01 17:06:42.272880+00:00,2203
2025-02-01 17:06:47.209511+00:00,2216
2025-02-01 17:06:52.241346+00:00,2228
2025-02-01 17:06:57.223649+00:00,2240
2025-02-01 17:07:02.214239+00:00,2239
2025-02-01 17:07:07.227571+00:00,2239
2025-02-01 17:07:12.222841+00:00,2239
2025-02-01 17:07:17.206042+00:00,2239
2025-02-01 17:07:22.215810+00:00,2235
2025-02-01 17:07:27.526851+00:00,2235
2025-02-01 17:07:32.266710+00:00,2234
2025-02-01 17:07:37.374179+00:00,2233
2025-02-01 17:07:42.289733+00:00,2237
2025-02-01 17:07:47.416731+00:00,2234
2025-02-01 17:07:52.424946+00:00,2237
2025-02-01 17:07:57.259994+00:00,2239
2025-02-01 17:08:02.351583+00:00,2685
2025-02-01 17:08:07.481583+00:00,4095
2025-02-01 17:08:12.511388+00:00,4094
2025-02-01 17:08:17.529842+00:00,2718
2025-02-01 17:08:22.246592+00:00,2211
2025-02-01 17:08:27.275525+00:00,2245
2025-02-01 17:08:32.304039+00:00,2238
2025-02-01 17:08:37.411477+00:00,2224
2025-02-01 17:08:42.340209+00:00,2203
2025-02-01 17:08:47.445515+00:00,2205
2025-02-01 17:08:52.476302+00:00,2238
2025-02-01 17:08:57.255201+00:00,2239
2025-02-01 17:10:12.921533+00:00,1983
2025-02-01 17:10:17.937287+00:00,1958
2025-02-01 17:10:23.066024+00:00,1994
2025-02-01 17:10:28.063814+00:00,4014
2025-02-01 17:10:33.081000+00:00,4094
2025-02-01 17:10:38.100034+00:00,2633
2025-02-01 17:10:43.127795+00:00,1961
2025-02-01 17:10:47.936637+00:00,1956
2025-02-01 17:10:53.056479+00:00,3482
2025-02-01 17:10:58.073969+00:00,1957
2025-02-01 17:11:03.092302+00:00,3876
2025-02-01 17:11:25.513346+00:00,3428
2025-02-01 17:11:30.530985+00:00,4095
2025-02-01 17:11:35.361107+00:00,4095
2025-02-01 17:11:40.368272+00:00,2627
2025-02-01 17:11:45.486929+00:00,2379
2025-02-01 17:11:50.515983+00:00,1904
2025-02-01 17:11:55.544430+00:00,2515
2025-02-01 17:12:00.541699+00:00,4094
2025-02-01 17:12:05.336788+00:00,4095
2025-02-01 17:12:10.478466+00:00,4095
2025-02-01 17:12:15.426656+00:00,2942
2025-02-01 17:12:20.425912+00:00,894
2025-02-01 17:12:25.362460+00:00,894
2025-02-01 17:12:30.562356+00:00,3016
2025-02-01 17:12:35.368449+00:00,2074
2025-02-01 17:12:40.377167+00:00,808
2025-02-01 17:12:45.378300+00:00,2062
2025-02-01 17:12:50.374405+00:00,1985
2025-02-01 17:12:55.442058+00:00,1816
2025-02-01 17:13:00.364266+00:00,2187
2025-02-01 17:13:05.348750+00:00,4095
2025-02-01 17:13:10.499274+00:00,4095
2025-02-01 17:13:15.505431+00:00,2547
2025-02-01 17:13:20.434478+00:00,1785
2025-02-01 17:13:25.359951+00:00,1773
2025-02-01 17:13:30.377998+00:00,1665
2025-02-01 17:13:35.409678+00:00,1708
2025-02-01 17:13:45.708648+00:00,1709
2025-02-01 17:13:45.865276+00:00,3567
2025-02-01 17:13:50.562760+00:00,1730
2025-02-01 17:13:55.550804+00:00,1705
2025-02-01 17:14:00.642263+00:00,1690
2025-02-01 17:14:05.578383+00:00,1685
2025-02-01 17:14:10.578721+00:00,1684
2025-02-01 17:14:15.726396+00:00,1683
2025-02-01 17:14:20.923164+00:00,1672
2025-02-01 17:14:25.553759+00:00,1724
2025-02-01 17:14:30.580334+00:00,1709
2025-02-01 17:14:35.549912+00:00,1679
2025-02-01 17:14:40.548285+00:00,1673
2025-02-01 17:14:45.579791+00:00,1675
2025-02-01 17:14:50.730841+00:00,1673
2025-02-01 17:14:55.551689+00:00,1681
2025-02-01 17:15:00.580817+00:00,1675
2025-02-01 17:15:05.698377+00:00,1677
2025-02-01 17:15:10.554621+00:00,1679
2025-02-01 17:15:15.735200+00:00,1673
2025-02-01 17:15:20.549770+00:00,1680
2025-02-01 17:17:44.976228+00:00,2283
2025-02-01 17:17:49.974269+00:00,2282
2025-02-01 17:17:54.782572+00:00,2279
2025-02-01 17:17:59.853865+00:00,2275
2025-02-01 17:18:05.016453+00:00,2281
2025-02-01 17:18:09.938829+00:00,2496
2025-02-01 17:18:15.056069+00:00,4095
2025-02-01 17:18:19.785024+00:00,2693
2025-02-01 17:18:24.791193+00:00,2552
2025-02-01 17:18:29.921228+00:00,4095
2025-02-01 17:18:34.927760+00:00,2470
2025-02-01 17:18:39.955123+00:00,2292
2025-02-01 17:18:45.065339+00:00,2292
2025-02-01 17:18:49.782987+00:00,2295
2025-02-01 17:18:54.761448+00:00,2294
2025-02-01 17:18:59.762512+00:00,2295
2025-02-01 17:19:04.928298+00:00,2293
2025-02-01 17:19:09.772994+00:00,2293
2025-02-01 17:19:14.763371+00:00,2292
2025-02-01 17:19:19.881843+00:00,2278
2025-02-01 17:19:24.900399+00:00,2282
2025-02-01 17:19:29.930938+00:00,2281
2025-02-01 17:19:34.934565+00:00,2294
2025-02-01 17:19:39.764915+00:00,2290
2025-02-01 17:19:45.074302+00:00,2283
2025-02-01 17:19:49.890878+00:00,2283
